FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
18JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,11,0,,0
18JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,,0
18JAN2021:00:00:00,51 a 60,M,Sputnik,Público,24,0,,0
18JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,,0
19JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,13,0,,0
19JAN2021:00:00:00,30 o menos,F,Sputnik,Público,29,24,,0
19JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,1,0,,0
19JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,5,0,,0
19JAN2021:00:00:00,30 o menos,M,Sputnik,Público,14,15,,0
19JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0
19JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,37,0,,0
19JAN2021:00:00:00,31 a 40,F,Sputnik,Público,62,69,,0
19JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,13,0,,0
19JAN2021:00:00:00,31 a 40,M,Sputnik,Público,25,41,,0
19JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,2,0,,0
19JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,20,0,,0
19JAN2021:00:00:00,41 a 50,F,Sputnik,Público,47,75,,0
19JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,3,0,,0
19JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,9,0,,0
19JAN2021:00:00:00,41 a 50,M,Sputnik,Público,33,50,,0
19JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,2,0,,0
19JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,8,0,,0
19JAN2021:00:00:00,51 a 60,F,Sputnik,Público,34,44,,0
19JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,1,0,,0
19JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,9,0,,0
19JAN2021:00:00:00,51 a 60,M,Sputnik,Público,30,31,,0
19JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0
19JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,1,,0
19JAN2021:00:00:00,61 a 70,M,Sputnik,Público,2,2,,0
20JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,13,0,,0
20JAN2021:00:00:00,30 o menos,F,Sputnik,Público,11,59,,0
20JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,,0
20JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,3,0,,0
20JAN2021:00:00:00,30 o menos,M,Sputnik,Público,2,24,,0
20JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0
20JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,17,0,,0
20JAN2021:00:00:00,31 a 40,F,Sputnik,Público,23,104,,0
20JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,6,0,,0
20JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,8,0,,0
20JAN2021:00:00:00,31 a 40,M,Sputnik,Público,13,81,,0
20JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,6,0,,0
20JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,19,0,,0
20JAN2021:00:00:00,41 a 50,F,Sputnik,Público,24,102,,0
20JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,11,0,,0
20JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,5,0,,0
20JAN2021:00:00:00,41 a 50,M,Sputnik,Público,9,66,,0
20JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,8,0,,0
20JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,12,0,,0
20JAN2021:00:00:00,51 a 60,F,Sputnik,Público,6,68,,0
20JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,11,0,,0
20JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,5,0,,0
20JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,46,,0
29DEC2020:00:00:00,30 o menos,F,Sputnik,Público,68,0,,0
29DEC2020:00:00:00,30 o menos,M,Sputnik,Público,38,0,,0
29DEC2020:00:00:00,31 a 40,F,Sputnik,Público,125,0,,0
29DEC2020:00:00:00,31 a 40,M,Sputnik,Público,92,0,,0
29DEC2020:00:00:00,41 a 50,F,Sputnik,Público,132,0,,0
29DEC2020:00:00:00,41 a 50,M,Sputnik,Público,79,0,,0
29DEC2020:00:00:00,51 a 60,F,Sputnik,Público,82,0,,0
29DEC2020:00:00:00,51 a 60,M,Sputnik,Público,49,0,,0
29DEC2020:00:00:00,61 a 70,F,Sputnik,Público,2,0,,0
29DEC2020:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0
30DEC2020:00:00:00,30 o menos,F,Sputnik,Público,95,0,,0
30DEC2020:00:00:00,30 o menos,M,Sputnik,Público,45,0,,0
30DEC2020:00:00:00,31 a 40,F,Sputnik,Público,140,0,,0
30DEC2020:00:00:00,31 a 40,M,Sputnik,Público,105,0,,0
30DEC2020:00:00:00,41 a 50,F,Sputnik,Público,148,0,,0
30DEC2020:00:00:00,41 a 50,M,Sputnik,Público,90,0,,0
30DEC2020:00:00:00,51 a 60,F,Sputnik,Público,91,0,,0
30DEC2020:00:00:00,51 a 60,M,Sputnik,Público,56,0,,0
30DEC2020:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
30DEC2020:00:00:00,61 a 70,M,Sputnik,Público,2,0,,0
31DEC2020:00:00:00,30 o menos,F,Sputnik,Público,3,0,,0
31DEC2020:00:00:00,30 o menos,M,Sputnik,Público,7,0,,0
31DEC2020:00:00:00,31 a 40,F,Sputnik,Público,15,0,,0
31DEC2020:00:00:00,31 a 40,M,Sputnik,Público,12,0,,0
31DEC2020:00:00:00,41 a 50,F,Sputnik,Público,15,0,,0
31DEC2020:00:00:00,41 a 50,M,Sputnik,Público,12,0,,0
31DEC2020:00:00:00,51 a 60,F,Sputnik,Público,7,0,,0
31DEC2020:00:00:00,51 a 60,M,Sputnik,Público,6,0,,0
31DEC2020:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
02JAN2021:00:00:00,30 o menos,F,Sputnik,Público,28,0,,0
02JAN2021:00:00:00,30 o menos,M,Sputnik,Público,14,0,,0
02JAN2021:00:00:00,31 a 40,F,Sputnik,Público,94,0,,0
02JAN2021:00:00:00,31 a 40,M,Sputnik,Público,54,0,,0
02JAN2021:00:00:00,41 a 50,F,Sputnik,Público,66,0,,0
02JAN2021:00:00:00,41 a 50,M,Sputnik,Público,47,0,,0
02JAN2021:00:00:00,51 a 60,F,Sputnik,Público,51,0,,0
02JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,0,,0
02JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
02JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0
03JAN2021:00:00:00,30 o menos,F,Sputnik,Público,14,0,,0
03JAN2021:00:00:00,30 o menos,M,Sputnik,Público,8,0,,0
03JAN2021:00:00:00,31 a 40,F,Sputnik,Público,40,0,,0
03JAN2021:00:00:00,31 a 40,M,Sputnik,Público,22,0,,0
03JAN2021:00:00:00,41 a 50,F,Sputnik,Público,28,0,,0
03JAN2021:00:00:00,41 a 50,M,Sputnik,Público,11,0,,0
03JAN2021:00:00:00,51 a 60,F,Sputnik,Público,16,0,,0
03JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,0,,0
04JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,10,0,,0
04JAN2021:00:00:00,30 o menos,F,Sputnik,Público,77,0,,0
04JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,4,0,,0
04JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,6,0,,0
04JAN2021:00:00:00,30 o menos,M,Sputnik,Público,50,0,,0
04JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,0,,0
04JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,15,0,,0
04JAN2021:00:00:00,31 a 40,F,Sputnik,Público,163,0,,0
04JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,9,0,,0
04JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,,0
04JAN2021:00:00:00,31 a 40,M,Sputnik,Público,89,0,,0
04JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,5,0,,0
04JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,10,0,,0
04JAN2021:00:00:00,41 a 50,F,Sputnik,Público,140,0,,0
04JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,3,0,,0
04JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,4,0,,0
04JAN2021:00:00:00,41 a 50,M,Sputnik,Público,83,0,,0
04JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0
04JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,4,0,,0
04JAN2021:00:00:00,51 a 60,F,Sputnik,Público,85,0,,0
04JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,2,0,,0
04JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,,0
04JAN2021:00:00:00,51 a 60,M,Sputnik,Público,64,0,,0
04JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0
04JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,,0
05JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,29,0,,0
05JAN2021:00:00:00,30 o menos,F,Sputnik,Público,83,0,,0
05JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,16,0,,0
05JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,14,0,,0
05JAN2021:00:00:00,30 o menos,M,Sputnik,Público,51,0,,0
05JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,4,0,,0
05JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,56,0,,0
05JAN2021:00:00:00,31 a 40,F,Sputnik,Público,158,0,,0
05JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,,0
05JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,44,0,,0
05JAN2021:00:00:00,31 a 40,M,Sputnik,Público,141,0,,0
05JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,10,0,,0
05JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,28,0,,0
05JAN2021:00:00:00,41 a 50,F,Sputnik,Público,163,0,,0
05JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,26,0,,0
05JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,14,0,,0
05JAN2021:00:00:00,41 a 50,M,Sputnik,Público,94,0,,0
05JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,,0
05JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,9,0,,0
05JAN2021:00:00:00,51 a 60,F,Sputnik,Público,114,0,,0
05JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,15,0,,0
05JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,5,0,,0
05JAN2021:00:00:00,51 a 60,M,Sputnik,Público,71,0,,0
05JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,,0
05JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,1,0,,0
05JAN2021:00:00:00,61 a 70,F,Sputnik,Público,2,0,,0
05JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0
05JAN2021:00:00:00,71 a 80,F,Sputnik,Privado,1,0,,0
06JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,23,0,,0
06JAN2021:00:00:00,30 o menos,F,Sputnik,Público,112,0,,0
06JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,,0
06JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,12,0,,0
06JAN2021:00:00:00,30 o menos,M,Sputnik,Público,69,0,,0
06JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,,0
06JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,42,0,,0
06JAN2021:00:00:00,31 a 40,F,Sputnik,Público,176,0,,0
06JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,15,0,,0
06JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,44,0,,0
06JAN2021:00:00:00,31 a 40,M,Sputnik,Público,135,0,,0
06JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,17,0,,0
06JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,28,0,,0
06JAN2021:00:00:00,41 a 50,F,Sputnik,Público,188,0,,0
06JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,7,0,,0
06JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,27,0,,0
06JAN2021:00:00:00,41 a 50,M,Sputnik,Público,106,0,,0
06JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,8,0,,0
06JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,5,0,,0
06JAN2021:00:00:00,51 a 60,F,Sputnik,Público,156,0,,0
06JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,5,0,,0
06JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,8,0,,0
06JAN2021:00:00:00,51 a 60,M,Sputnik,Público,73,0,,0
06JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
06JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
06JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,
07JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,7,0,,0
07JAN2021:00:00:00,30 o menos,F,Sputnik,Público,143,0,,0
07JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,6,0,,0
07JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,8,0,,0
07JAN2021:00:00:00,30 o menos,M,Sputnik,Público,77,0,,0
07JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,18,0,,0
07JAN2021:00:00:00,31 a 40,F,Sputnik,Público,285,0,,0
07JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,5,0,,0
07JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,24,0,,0
07JAN2021:00:00:00,31 a 40,M,Sputnik,Público,148,0,,0
07JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,8,0,,0
07JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,20,0,,0
07JAN2021:00:00:00,41 a 50,F,Sputnik,Público,235,0,,0
07JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,4,0,,0
07JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,10,0,,0
07JAN2021:00:00:00,41 a 50,M,Sputnik,Público,134,0,,0
07JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0
07JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,8,0,,0
07JAN2021:00:00:00,51 a 60,F,Sputnik,Público,155,0,,0
07JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,3,0,,0
07JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,,0
07JAN2021:00:00:00,51 a 60,M,Sputnik,Público,104,0,,0
07JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
08JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,17,0,,0
08JAN2021:00:00:00,30 o menos,F,Sputnik,Público,190,0,,0
08JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,24,0,,0
08JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,9,0,,0
08JAN2021:00:00:00,30 o menos,M,Sputnik,Público,104,0,,0
08JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,,0
08JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,16,0,,0
08JAN2021:00:00:00,31 a 40,F,Sputnik,Público,358,0,,0
08JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,,0
08JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,14,0,,0
08JAN2021:00:00:00,31 a 40,M,Sputnik,Público,193,0,,0
08JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,18,0,,0
08JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,28,0,,0
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público,297,0,,0
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,14,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,18,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público,169,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,4,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,14,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público,182,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público,102,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
08JAN2021:00:00:00,61 a 70,F,Sputnik,Público,3,0,,0
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público,4,0,,0
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,3,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público,24,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público,10,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,3,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,4,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público,81,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,17,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público,50,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,11,0,,0
14FEB2021:00:00:00,31 a 40,M,Sputnik,Público,0,1,,0
14FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,1,7,,0
14FEB2021:00:00:00,41 a 50,F,Sputnik,Público,0,2,,0
14FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,0,1,,0
14FEB2021:00:00:00,51 a 60,M,Sputnik,Público,0,1,,0
16FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,1,,0
16FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,1,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,3,5,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Público,0,4,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,6,,0
16FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,2,4,,0
16FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,2,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,1,6,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Público,0,2,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,5,,0
16FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,2,,0
16FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,3,,0
17FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,70,10,,0
17FEB2021:00:00:00,30 o menos,F,Sputnik,Público,110,17,,0
